Patron ID,First Name,Last Name,Date Entered,Primary Email,Company,Salutation,Title,Tags,Gender,Marital Status,Background Info,Constituent Type,Secondary Email,Donation Amount Tot,Donation Amount Recent,Donation Date
6020,Katherine & Dan,Johnson,"December 26, 2015",,,,UX Designer,"['Major Donor', 'Student Scholar', 'Pitch Perfect']",Unknown,Unknown,UX Designer ; Unknown,Person,,,,"March 01, 2023"
4348,,,"November 27, 2015",,Ramos Plc,,,"['Summer 2016', 'Major Donor', 'Student Scholar', 'Summer 2016', 'Major Donor']",Unknown,Unknown,Unknown,Company,,,,"August 20, 2020"
8309,,,"July 20, 2021",,Stephenson Ltd,,Nurse Practitioner,"['Board Member', 'Camp 2016', 'Camp 2016', 'Board Member']",Unknown,Unknown,Nurse Practitioner ; Unknown,Company,,,,"November 10, 2020"
9859,James,Burns,"June 24, 2015",harperluke@gmail.com,,Dr,Administrative Assistant,"['Major Donor', 'Pitch Perfect']",Unknown,Unknown,Administrative Assistant ; Unknown,Person,,,,"December 12, 2019"
5301,Maureen,Weber,"August 09, 2021",corey36@gmail.com,,,Business Analyst,"['Pitch Perfect', 'Major Donor', 'Summer 2016', 'Pitch Perfect', 'VIP']",Unknown,Unknown,Business Analyst ; Unknown,Person,zacharywilliams@hotmail.com,,,"December 24, 2022"
5767,Chase,Pena,"November 20, 2020",richard99@hampton.com,,Mr. and Mrs.,Graphic Designer,"['Pitch Perfect', 'Tag Test', 'Major Donor']",Married,Married,Graphic Designer ; Married,Person,,,,"December 20, 2024"
4926,Joshua,Rush,"March 20, 2018",,,Rev,,[],Unknown,Unknown,Unknown,Person,,,,"April 17, 2020"
1089,Erica,Simmons,"April 16, 2016",samantha08@hotmail.com,...,Mrs,Business Analyst,"['Major Donor', 'Student Scholar', 'Summer 2016']",Single,Married,Business Analyst ; Married,Person,andrewsrandy@howard.com,,,"October 07, 2018"
4051,Julia,Spencer,"January 28, 2024",william10@hotmail.com,,Mr,Accountant,"['Major Donor', 'Major Donor', 'Major Donor']",Married,Married,Accountant ; Married,Person,barrettsean@yahoo.com,,,"September 05, 2024"
3514,Kevin,Howard,"November 07, 2015",christopher25@rodriguez.com,,Mrs,,"['Summer 2016', 'Major Donor', 'Major Donor', 'Pitch Perfect']",Unknown,Married,Married,Person,plam@hotmail.com,,,"July 06, 2024"
3953,Kelly,Jimenez,"February 16, 2018",greg46@hotmail.com,,,,"['Pitch Perfect', 'Student Scholar', 'Major Donor']",Single,Single,Single,Person,gregoryschmidt@outlok.com,,,"May 04, 2024"
6366,Julie,Mcgrath,"September 13, 2020",bjones@hotmail.com,,Mrs,Sales Executive,"['Camp 2016', 'Camp 2016', 'Student Scholar', 'Major Donor']",Unknown,Married,Sales Executive ; Married,Person,michellemorgan@walker.com,,,"March 27, 2023"
4566,,,"December 09, 2018",cynthiarogers@moore.info,"Banks, Watkins And Gomez",,Chief Technology Officer,"['Major Donor', 'Major Donor', 'Board Member']",Single,Single,Chief Technology Officer ; Single,Company,,,,"February 06, 2023"
5418,Nicholas,Johnson,"December 21, 2015",wustephanie@hotmail.com,,Dr,,"['Major Donor', 'Board Member', 'Summer 2016', 'Summer 2016']",Married,Married,Married,Person,,,,"March 21, 2021"
3677,,,"April 14, 2015",april70@hernandez.biz,Duncan Group,,,"['Pitch Perfect', 'Student Scholar', 'Pitch Perfect', 'Summer 2016', 'Summer 2016']",Single,Single,Single,Company,elizabethjones@gmail.com,,,"June 01, 2022"
6822,Nicole,Benson,"October 30, 2022",,,Mr. and Mrs.,UX Designer,"['Board Member', 'Student Scholar', 'Major Donor']",Single,Married,UX Designer ; Married,Person,,,,"May 14, 2023"
7564,Connie,Lyons,"September 23, 2017",,Dodson-Austin,Mrs,,[],Married,Married,Married,Person,,,,"July 29, 2022"
4036,Grant,Brennan,"November 27, 2018",,"Guerrero, Diaz And Odom",Mr,IT Consultant,"['Student Scholar', 'Camp 2016', 'Summer 2016', 'Pitch Perfect', 'Major Donor']",Single,Married,IT Consultant ; Married,Person,,,,"December 08, 2020"
9655,Maria,Kelley,"June 30, 2018",christopher66@gmail.com,,Ms,,"['Major Donor', 'Pitch Perfect']",Unknown,Unknown,Unknown,Person,garciamark@parker.info,,,"November 26, 2021"
1459,Katherine,Jones,"August 06, 2022",herringstanley@yaho.com,,Rev,Software Engineer,"['Camp 2016', 'Major Donor', 'Pitch Perfect', 'Major Donor', 'Camp 2016']",Single,Single,Software Engineer ; Single,Person,,,,"April 28, 2021"
8265,Patricia,Curtis,"September 24, 2019",jessicaramirez@kim-clark.com,,Dr,Project Manager,"['Major Donor', 'Pitch Perfect', 'Major Donor', 'Camp 2016']",Married,Married,Project Manager ; Married,Person,,,,"July 06, 2019"
2014,Amanda,Kelley,"November 10, 2016",walkerlindsey@lewis.com,,Mr,,"['Pitch Perfect', 'Student Scholar', 'Camp 2016', 'Board Member', 'VIP']",Unknown,Married,Married,Person,,,,"March 01, 2022"
4862,Cynthia,Mckinney,"October 27, 2021",dwood@martinez.com,,,HR Coordinator,"['Pitch Perfect', 'Camp 2016', 'Major Donor']",Married,Married,HR Coordinator ; Married,Person,robynmooney@hotmail.com,,,"June 12, 2024"
8161,Joshua,Gutierrez,"September 19, 2021",dwilliams@hotmail.com,,Mr,Project Manager,"['Pitch Perfect', 'Summer 2016', 'Summer 2016', 'Major Donor', 'Board Member']",Unknown,Married,Project Manager ; Married,Person,,,,"August 20, 2022"
4107,Robert,Powers,"February 26, 2023",cooleyaustin@solis.com,,Dr,Administrative Assistant,[],Married,Married,Administrative Assistant ; Married,Person,,,,"August 02, 2021"
1102,Michael,Munoz,"June 17, 2019",warrendaniel@gmail.com,,Mr. and Mrs.,,"['Camp 2016', 'Camp 2016', 'Board Member', 'Major Donor', 'Camp 2016']",Unknown,Married,Married,Person,,,,"November 30, 2023"
3203,Joshua,Gonzales,"November 10, 2022",katiecarr@daniels-olsen.com,,Rev,Business Analyst,"['Pitch Perfect', 'Board Member', 'Board Member', 'Camp 2016', 'Major Donor']",Single,Single,Business Analyst ; Single,Person,,,,"September 25, 2020"
6522,Brian,Schmidt,"October 01, 2019",andrea62@gmail.com,,,,"['Student Scholar', 'Student Scholar']",Unknown,Unknown,Unknown,Person,gpayne@hotmail.com,,,"March 13, 2023"
3973,Kyle,Parsons,"September 01, 2021",,,Dr,,"['Pitch Perfect', 'Student Scholar', 'Camp 2016', 'Summer 2016', 'Pitch Perfect']",Married,Married,Married,Person,,,,"January 28, 2024"
9734,Yvonne,Russell,"February 25, 2021",hansonchristine@hotmail.com,,,,"['Pitch Perfect', 'Board Member', 'Summer 2016']",Unknown,Unknown,Unknown,Person,,,,"October 29, 2022"
9153,Erica,House,"February 03, 2015",jonesmelanie@stokes.com,,Mrs,,"['Board Member', 'Major Donor 2022', 'Board Member', 'Student Scholar']",Married,Married,Married,Person,,,,"April 27, 2024"
7103,,,"July 30, 2023",michellelane@cox.com,"Cross, Hutchinson And Vega",,Accountant,"['Board Member', 'Pitch Perfect', 'Summer 2016', 'Student Scholar', 'VIP']",Single,Single,Accountant ; Single,Company,garystevens@yaho.com,,,"August 15, 2024"
7963,John,Stanton,"April 24, 2015",daniel74@bryan.com,,Mrs,,"['Board Member', 'Pitch Perfect']",Unknown,Married,Married,Person,,,,"February 21, 2024"
6801,Troy,Perez,"October 03, 2016",james92@hotmail.com,,Mr. and Mrs.,Marketing Manager,"['Camp 2016', 'Camp 2016', 'Pitch Perfect', 'Summer 2016', 'Pitch Perfect']",Unknown,Married,Marketing Manager ; Married,Person,,,,"July 26, 2018"
2085,David,Smith,"October 13, 2015",smalljessica@hotmail.com,,,,"['Pitch Perfect', 'Camp 2016', 'Summer 2016']",Married,Married,Married,Person,tonyagutierrez@wheeler.com,,,"April 17, 2021"
3927,,,"January 04, 2018",charles63@ramos.com,Allen-Stephens,,Administrative Assistant,"['Camp 2016', 'Major Donor', 'Major Donor', 'Major Donor']",Married,Married,Administrative Assistant ; Married,Company,rowens@gmail.com,,,"July 26, 2024"
4651,Julie,Davis,"March 12, 2015",,,Mrs,Sales Executive,"['Camp 2016', 'Tag Test', 'Camp 2016', 'Pitch Perfect']",Single,Married,Sales Executive ; Married,Person,,,,"January 07, 2022"
4039,Hannah,Clark,"November 14, 2022",emilylopez@yahoo.com,,Rev,Operations Manager,"['Major Donor', 'Camp 2016', 'Pitch Perfect']",Unknown,Unknown,Operations Manager ; Unknown,Person,brandy72@mcguire.net,,,"June 09, 2021"
2481,James,Trujillo,"June 23, 2024",carrie32@forbes.com,,,Administrative Assistant,"['Pitch Perfect', 'VIP']",Single,Single,Administrative Assistant ; Single,Person,donald21@houston.com,,,"January 05, 2022"
5321,,,"December 24, 2015",flowersdavid@hotmail.com,"Cook, Walls And Ryan",,,[],Unknown,Unknown,Unknown,Company,heidimartinez@gmail.com,,,"October 07, 2021"
4615,Laura,Jackson,"July 22, 2022",,,,,[],Single,Single,Single,Person,,,,"October 29, 2023"
9139,Nicole,Chase,"September 28, 2022",victoria52@galvan.com,,Ms,,"['Major Donor', 'Student Scholar', 'Major Donor', 'Summer 2016', 'Summer 2016']",Married,Married,Married,Person,adrian20@chang.com,,,"April 09, 2021"
1854,Ricky,David,"August 03, 2020",stephaniewu@gmail.com,,Dr,,"['Summer 2016', 'Pitch Perfect', 'Camp 2016', 'Summer 2016', 'Student Scholar']",Single,Single,Single,Person,,,,"February 02, 2023"
2936,Natalie,Smith,"November 10, 2016",lawrence72@olson.com,,Dr,,"['Major Donor', 'Pitch Perfect']",Unknown,Unknown,Unknown,Person,tsuarez@ford.net,,,"March 04, 2023"
3140,Claudia,Chambers,"September 11, 2023",,,,,['Pitch Perfect'],Single,Single,Single,Person,,,,"June 10, 2023"
5967,Benjamin,Park,"December 30, 2023",lisa94@wong.biz,Paul-Kim,,Chief Technology Officer,[],Married,Married,Chief Technology Officer ; Married,Person,marktorres@yahoo.com,,,"July 02, 2018"
3446,Wanda And James,Bryant,"July 16, 2015",,,Mr. and Mrs.,,['Major Donor'],Unknown,Married,Married,Person,,,,"September 28, 2023"
9965,Shane,Meza,"September 05, 2015",amber39@johnson.net,,,Nurse Practitioner,"['Student Scholar', 'Student Scholar']",Married,Married,Nurse Practitioner ; Married,Person,,,,"October 20, 2024"
2136,Regina,Webb,"December 19, 2020",mgonzalez@meyer.net,,Dr,Marketing Manager,[],Married,Married,Marketing Manager ; Married,Person,,,,"May 15, 2024"
2581,Lori,Cummings,"November 20, 2018",alyssagarcia@gmail.com,,,Chief Technology Officer,[],Unknown,Unknown,Chief Technology Officer ; Unknown,Person,steven65@jackson.com,,,"September 27, 2024"
2737,Matthew,Nicholson,"May 28, 2015",,,Dr,,"['Summer 2016', 'Major Donor', 'Camp 2016']",Unknown,Unknown,Unknown,Person,,,,"August 08, 2023"
7358,Amanda,James,"May 11, 2016",,,Rev,Graphic Designer,"['Summer 2016', 'Camp 2016', 'Pitch Perfect']",Unknown,Unknown,Graphic Designer ; Unknown,Person,,,,"January 24, 2022"
6197,Angela,Spencer,"November 27, 2024",antoniomalone@gmail.com,,Mr,,"['Major Donor', 'Tag Test', 'Camp 2016', 'Pitch Perfect', 'Student Scholar']",Married,Married,Married,Person,xjackson@hotmail.com,,,"November 04, 2022"
2596,Shelia,Yates,"August 31, 2015",,,Mrs,Administrative Assistant,"['Student Scholar', 'Major Donor 2022']",Unknown,Married,Administrative Assistant ; Married,Person,,,,
9821,,,"August 22, 2020",klinejose@gmail.com,Gutierrez Group,,,"['Major Donor', 'Pitch Perfect', 'Camp 2016']",Unknown,Unknown,Unknown,Company,brittanybenson@galvan.com,,,
2686,Jason,Kramer,"June 13, 2023",oarmstrong@gmail.com,,Dr,,"['Major Donor', 'Board Member', 'Camp 2016']",Unknown,Unknown,Unknown,Person,,,,
4646,Jon,Hunter,"January 30, 2019",edward64@hotmail.com,,Mr,Nurse Practitioner,"['Pitch Perfect', 'Student Scholar', 'Camp 2016', 'Summer 2016']",Single,Married,Nurse Practitioner ; Married,Person,barbarajordan@douglas.net,,,
4944,Christopher,Schneider,"April 14, 2023",,,,Marketing Manager,"['Board Member', 'Camp 2016']",Married,Married,Marketing Manager ; Married,Person,,,,
2382,Mark,Peters,"May 21, 2018",,,Mrs,IT Consultant,"['Major Donor', 'Pitch Perfect', 'Pitch Perfect', 'Board Member']",Single,Married,IT Consultant ; Married,Person,,,,
6586,Margaret,Moore,"August 01, 2016",rubenwelch@yahoo.com,,Mr. and Mrs.,,[],Unknown,Married,Married,Person,kevinmoore@jackson.com,,,"December 01, 2022"
7022,Melissa,Harrison,"August 30, 2019",mmckinney@yahoo.com,,,Accountant,"['Major Donor', 'Major Donor']",Single,Single,Accountant ; Single,Person,,,,"September 19, 2024"
6605,James,Trujillo,"June 28, 2023",wesleyjones@gibson.com,,Mrs,,"['Summer 2016', 'Camp 2016', 'Summer 2016', 'Major Donor', 'Pitch Perfect']",Unknown,Married,Married,Person,,,,"October 14, 2021"
4668,Cole,White,"February 28, 2024",ereese@hotmail.com,,Dr,Project Manager,"['Pitch Perfect', 'Tag Test', 'Major Donor', 'Pitch Perfect']",Married,Married,Project Manager ; Married,Person,powellrebecca@powell.biz,,,"October 07, 2021"
1288,Brandon,Mccarty,"December 03, 2020",john56@stone.org,,Ms,,[],Single,Single,Single,Person,,,,"April 01, 2023"
7369,Dawn,Lindsey,"March 28, 2024",jacob66@yahoo.com,,Ms,Administrative Assistant,"['Board Member', 'Pitch Perfect', 'Major Donor', 'Major Donor']",Unknown,Unknown,Administrative Assistant ; Unknown,Person,snydertanya@smith.biz,,,"April 19, 2024"
1825,April,Barber,"November 07, 2016",javierperez@davis.com,"Villanueva, Bowen And Smith",Mr,,['Student Scholar'],Single,Married,Married,Person,morgan45@hotmail.com,,,"September 10, 2021"
1348,Robert & Emily,Patton,"December 12, 2016",,,Mr. and Mrs.,,[],Single,Married,Married,Person,,,,"March 18, 2023"
1550,Laura,Harrison,"December 07, 2017",harrypatterson@yahoo.com,,Mr. and Mrs.,,"['Major Donor', 'Student Scholar', 'Board Member']",Unknown,Married,Married,Person,,,,"December 28, 2024"
3506,Jason,Moore,"March 27, 2015",traciemcpherson@palmer.com,Used To Work Here.,Mr. and Mrs.,,[],Unknown,Married,Married,Person,,,,"February 15, 2023"
3141,Jennifer,Juarez,"January 30, 2022",simpsonluis@williams.com,,,,['Student Scholar'],Married,Married,Married,Person,,,,"December 08, 2022"
7497,Jennifer,Luna,"February 09, 2019",robertmunoz@hotmail.com,,Dr,,"['Summer 2016', 'Camp 2016']",Unknown,Unknown,Unknown,Person,,,,"October 31, 2020"
